teamName,season,rushing_yards,ypc,ypc_over_expected,yards_over_expected,epa,count,aly_mib,freq
Minnesota Vikings,2013,1850,4.9,0.86,322.4398862634992,0.0748178850397878,377,1.2,1
Minnesota Vikings,2014,1535,4.2,-0.05,-16.593375554637344,-0.032085097872928174,362,1.6,1
Minnesota Vikings,2015,1888,4.6,0.49,198.5837843462872,0.01555473243243243,407,1.2,1
Minnesota Vikings,2016,1193,3.3,-0.83,-296.64856764960876,-0.15050461270194987,359,1.3,1
Minnesota Vikings,2017,1910,4,-0.24,-116.11259136070426,-0.04974027311850312,481,1.2,1
Minnesota Vikings,2018,1406,4.2,-0.05,-17.704868045440392,-0.07625852749244713,331,1.3,1
New England Patriots,2009,1796,4.3,0.21,88.3228200541682,0.014307290553956836,417,1.7,1
New England Patriots,2010,1856,4.6,0.53,211.7580830995824,0.124921518305,400,1.7,1
New England Patriots,2011,1752,4.1,-0.08,-36.63051121609645,0.027765482436194894,431,1.6,1
New England Patriots,2012,2318,4.4,0.21,112.20573315663037,0.05609472345283019,530,1.4,1
New England Patriots,2013,2060,4.6,0.4,177.83957861730093,-0.022045067748888886,450,1.5,1
New England Patriots,2014,1684,4.1,0.04,14.457142699848726,0.0027770193333333327,408,1.4,1
New England Patriots,2015,1295,3.9,-0.36,-120.48818903777384,-0.007484229970238093,336,1.4,1
New England Patriots,2016,1733,3.9,-0.09,-39.90944333990643,-0.02852209217687075,441,1.5,1
New England Patriots,2017,1978,4.4,0.37,166.56858918748256,0.015305214537444933,454,1.5,1
New England Patriots,2018,2021,4.5,0.42,192.64589264377557,0.026874288964757707,454,1.5,1
New Orleans Saints,2009,1983,4.8,0.75,309.3925120460452,0.06327999962168675,415,1.5,1
New Orleans Saints,2010,1536,4.1,0.03,12.752798630774887,-0.026430273952254644,377,1.4,1
New Orleans Saints,2011,1943,4.8,0.71,285.1199156075071,0.023345163740648378,401,1.5,1
New Orleans Saints,2012,1786,4.6,0.32,122.17721859348585,0.042821863445595854,386,1.4,1
New Orleans Saints,2013,1408,3.9,-0.16,-58.292242111526896,-0.01927499644257703,357,1.3,1
New Orleans Saints,2014,1753,4.6,0.4,152.32004229503258,0.029032872793733684,383,1.5,1
New Orleans Saints,2015,1411,3.9,-0.27,-96.62334748592833,-0.004260975963788302,359,1.3,1
New Orleans Saints,2016,1679,4.4,0.22,84.04841149859,0.025181874737662337,385,1.9,1
New Orleans Saints,2017,2199,5,0.85,374.38502462431404,0.10147227695454546,440,1.5,1
New Orleans Saints,2018,2003,4.6,0.58,254.365965198374,0.06735097743707094,437,1.6,1
New York Giants,2009,1723,4.2,0.21,87.55829838581225,-0.030593130293398538,409,1.4,1
New York Giants,2010,2100,4.8,0.74,320.20953909688956,-0.033080757020785216,433,1.4,1
New York Giants,2011,1384,3.6,-0.59,-226.5837251766204,-0.0613729137075718,383,1.4,1
New York Giants,2012,1927,4.7,0.57,236.12671290394093,0.013466134174757283,412,1.5,1
New York Giants,2013,1298,3.6,-0.67,-243.3301958562271,-0.14139224698901098,364,1.2,1
New York Giants,2014,1570,3.6,-0.68,-297.0318337366381,-0.0758919750456621,438,1.5,1
New York Giants,2015,1340,3.8,-0.61,-214.21741772080722,-0.09773466654285715,350,1.5,1
New York Giants,2016,1468,3.9,-0.71,-264.3141374044592,-0.04623793763806971,373,1.6,1
New York Giants,2017,1670,4,-0.4,-166.7078134040108,-0.08034536179425837,418,1.6,1
New York Giants,2018,1626,4.7,0.54,185.60880935359856,0.024036158430232556,344,1.1,1
New York Jets,2009,2353,4.6,0.48,248.52871005044662,0.018509723398058252,515,1.5,1
New York Jets,2010,2250,4.3,0.21,110.72574767582532,0.019777302895752896,518,1.7,1
New York Jets,2011,1737,4,-0.19,-81.62497712275294,-0.032981490210045664,438,1.6,1
New York Jets,2012,1949,3.9,-0.14,-67.7943203133619,-0.03382969780846774,496,1.8,1
New York Jets,2013,1873,4.2,-0.13,-59.541125043905204,-0.04406795975555555,450,1.6,1
New York Jets,2014,1969,4.3,0.01,3.459144228543162,-0.04379508422175824,455,1.5,1
New York Jets,2015,1492,3.9,-0.43,-167.23489880196868,-0.1087408729038961,385,1.2,1
New York Jets,2016,1635,4.4,-0.04,-14.50519679526017,0.0030454451881720386,372,1.5,1
New York Jets,2017,1662,3.9,-0.37,-154.40942262309258,-0.11166078973933649,422,1.1,1
New York Jets,2018,1482,3.9,-0.39,-146.4318046475908,-0.12179810883289124,377,1.1,1
Oakland Raiders,2009,1499,4.1,-0.07,-25.80084024012036,-0.0758655982909091,363,1.6,1
Oakland Raiders,2010,2097,4.8,0.71,310.1115300907833,0.03080277737305936,438,1.5,1
Oakland Raiders,2011,2041,4.5,0.38,170.7922008742727,0.007855028819599109,449,1.5,1
Oakland Raiders,2012,1456,3.8,-0.52,-200.71534763381615,-0.11990890140992166,383,1.2,1
Oakland Raiders,2013,1647,4.2,0.12,48.12492911377247,-0.05186802935732648,389,1.5,1
Oakland Raiders,2014,1189,3.7,-0.54,-173.75073682707517,-0.177784478153125,320,1.4,1
Oakland Raiders,2015,1309,4,-0.29,-96.91661337565215,-0.07381301779635258,329,1.4,1
Oakland Raiders,2016,1802,4.6,0.34,134.6577268460886,-4.7810022959183536e-4,392,1.4,1
Oakland Raiders,2017,1549,4.3,-0.17,-60.31907172672105,-0.06141562664835165,364,1.4,1
Oakland Raiders,2018,1589,4.3,0.09,32.50181711818627,-0.05538105065395096,367,1.3,1
Philadelphia Eagles,2009,1458,4.3,0.13,45.679128787168054,0.01881648610619469,339,1.5,1
Philadelphia Eagles,2010,1623,4.9,0.68,225.86404268839058,0.05327069700598802,334,1.5,1
Philadelphia Eagles,2011,1707,4.5,0.4,150.68494927402293,0.03483470345646438,379,0.9,1
Philadelphia Eagles,2012,1608,4.2,-0.1,-38.97073151706593,-0.1306978372368421,380,0.9,1
Philadelphia Eagles,2013,2265,5.1,0.73,324.7934538926937,0.03850971695259594,443,1,1
