entityName,DefendersInBox,playIdZ,gameId,gsisGameKey,playId,gameId,plainDate,week,playoffWeek,teamId,teamName,token,seasonType,ncaa,nfl,opponentToken,oppAbbrevName,home,win,finalScore,finalScoreOpponent,team,opponent,abbrevName,oppAbbrevName,quarter,gameClock,roadPriorScore,homePriorScore,downStart,distToFirstStart,goalDistStart,pos,playType,startWp,wpa,startEp,epa,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,playDesc,sDRGameId,sdrEventId,scheduleId,wallClock,wallClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,onOffense,highlightVideo,highlightImageSmall,highlightImageLarge,highlightCaption,videoBroadcast,videoSideline,videoEndZone,yards,date,game,qtr,zebraData,zebraBallSnapY,EventSum
Arizona Cardinals,8,4210035 1850,4210035,57651,1850,4210035,2018-10-14,6,,8801,Arizona Cardinals,ARIZONA,REG,,true,MINNESOTA,MIN,false,false,17,27,Cardinals,Vikings,ARI,MIN,2,92,10,10,3,10,97,97,RUSH,0.446494,0.0154119,-0.934847,-0.30536,14,2,97,102,3,8,22,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 8 yards. 2 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2315675"">G. Iloka</a>.",,401030742,,66061,66061,3,8,22,Punt,true,,,,,,,,8,2018-10-14 (W6),ARI 17 @ MIN 27,2,,,2587
Arizona Cardinals,8,4210096 58,4210096,57660,58,4210096,2018-10-18,7,,8801,Arizona Cardinals,ARIZONA,REG,,true,DENVER,DEN,true,false,10,45,Cardinals,Broncos,ARI,DEN,1,896,0,0,1,10,83,83,RUSH,0.49346,-0.0129165,0.466235,-0.482341,1,1,83,900,2,0,59,Interception,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes towards the right guard for 0 yards. 0 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2160580"">D. Peko</a>.",,401030800,,1408,1408,2,0,59,Interception,true,,,,,,,,0,2018-10-18 (W7),DEN 45 @ ARI 10,1,,,2587
Arizona Cardinals,8,4210096 588,4210096,57660,588,4210096,2018-10-18,7,,8801,Arizona Cardinals,ARIZONA,REG,,true,DENVER,DEN,true,false,10,45,Cardinals,Broncos,ARI,DEN,1,472,14,0,2,1,77,77,RUSH,0.142135,-0.0030837,1.05559,0.00928212,4,1,86,518,9,61,200,Made Field Goal,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 6 yards. 5 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2217835"">D. Stewart</a>. Assist by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2266797"">B. Marshall</a>.",,401030800,,2797,2797,9,61,200,Made Field Goal,true,,,,,,,,6,2018-10-18 (W7),DEN 45 @ ARI 10,1,,,2587
Arizona Cardinals,8,4210096 1027,4210096,57660,1027,4210096,2018-10-18,7,,8801,Arizona Cardinals,ARIZONA,REG,,true,DENVER,DEN,true,false,10,45,Cardinals,Broncos,ARI,DEN,1,116,21,3,1,10,79,79,RUSH,0.0677198,-0.000831584,0.636118,-0.181657,7,1,79,122,3,2,131,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes towards the left guard for 3 yards. 2 yards after contact.",,401030800,,3817,3817,3,2,131,Punt,true,,,,,,,,3,2018-10-18 (W7),DEN 45 @ ARI 10,1,,,2587
Arizona Cardinals,8,4210096 2485,4210096,57660,2485,4210096,2018-10-18,7,,8801,Arizona Cardinals,ARIZONA,REG,,true,DENVER,DEN,true,false,10,45,Cardinals,Broncos,ARI,DEN,3,764,35,3,1,10,63,63,PASS,0.00246154,0.00129727,1.54867,0.896874,17,3,63,764,11,63,251,Touchdown Pass,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3886377"">J. Rosen</a> pass complete (thrown 16 yards downfield to the mid right) to <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3066052"">C. Williams</a> for 16 yards. 0 yards after the catch. 0 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2265719"">C. Harris</a>.",,401030800,,8062,8062,11,63,251,Touchdown Pass,true,,,,,,,,16,2018-10-18 (W7),DEN 45 @ ARI 10,3,,,2587
Arizona Cardinals,8,4210096 2509,4210096,57660,2509,4210096,2018-10-18,7,,8801,Arizona Cardinals,ARIZONA,REG,,true,DENVER,DEN,true,false,10,45,Cardinals,Broncos,ARI,DEN,3,728,35,3,1,10,47,47,PASS,0.00375881,-0.000771887,2.44554,-0.16661,17,3,63,764,11,63,251,Touchdown Pass,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3886377"">J. Rosen</a> pass complete (thrown 2 yards behind the line of scrimmage to the far right) to <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2515759"">J. Nelson</a> for 3 yards. 5 yards after the catch. 2 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2265719"">C. Harris</a>.",,401030800,,8098,8098,11,63,251,Touchdown Pass,true,,,,,,,,3,2018-10-18 (W7),DEN 45 @ ARI 10,3,,,2587
Arizona Cardinals,8,4210096 2678,4210096,57660,2678,4210096,2018-10-18,7,,8801,Arizona Cardinals,ARIZONA,REG,,true,DENVER,DEN,true,false,10,45,Cardinals,Broncos,ARI,DEN,3,560,35,3,1,6,6,6,RUSH,0.00578147,-0.000691556,5.19588,-0.103072,17,3,63,764,11,63,251,Touchdown Pass,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 2 yards. 2 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2468414"">S. Harris</a>.",,401030800,,8544,8544,11,63,251,Touchdown Pass,true,,,,,,,,2,2018-10-18 (W7),DEN 45 @ ARI 10,3,,,2587
Arizona Cardinals,8,4210112 279,4210112,57707,279,4210112,2018-11-11,10,,8801,Arizona Cardinals,ARIZONA,REG,,true,KANSASCITY,KC,false,false,14,26,Cardinals,Chiefs,ARI,KC,1,719,0,7,2,4,54,54,RUSH,0.372441,0.00169343,1.9118,0.362303,2,1,75,844,12,75,361,Touchdown Pass,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes towards the right guard for 4 yards. 2 yards after contact.",,401030815,,65594,65594,12,75,361,Touchdown Pass,true,,,,,,,,4,2018-11-11 (W10),ARI 14 @ KC 26,1,,,2587
Arizona Cardinals,8,4210112 1158,4210112,57707,1158,4210112,2018-11-11,10,,8801,Arizona Cardinals,ARIZONA,REG,,true,KANSASCITY,KC,false,false,14,26,Cardinals,Chiefs,ARI,KC,2,744,7,13,1,10,72,72,RUSH,0.35419,-0.00444125,1.02349,-0.238215,6,2,72,749,3,2,125,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3119195"">C. Edmonds</a> rushes up the middle for 2 yards. 1 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508191"">X. Williams</a>.",,401030815,,67971,67971,3,2,125,Punt,true,,,,,,,,2,2018-11-11 (W10),ARI 14 @ KC 26,2,,,2587
Arizona Cardinals,8,4210112 2285,4210112,57707,2285,4210112,2018-11-11,10,,8801,Arizona Cardinals,ARIZONA,REG,,true,KANSASCITY,KC,false,false,14,26,Cardinals,Chiefs,ARI,KC,3,512,7,20,1,6,6,6,RUSH,0.181298,0.011763,5.19592,0.680562,11,3,61,900,12,61,432,Touchdown,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3119195"">C. Edmonds</a> rushes up the middle for 5 yards. 4 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2979855"">R. Ragland</a>.",,401030815,,71351,71351,12,61,432,Touchdown,true,,,,,,,,5,2018-11-11 (W10),ARI 14 @ KC 26,3,,,2587
